accountId|loanId|amount|createTime
69242844270821492|90353467524120648|165529.15|2020-12-12 07:25:02.597
4714142909950067998|4679802962791367476|31358988.05|2021-01-18 01:40:25.317
106960491150049500|80220368362537080|32077353.83|2021-02-15 05:47:18.264
109775240917156585|68398419340689866|52549493.21|2021-02-24 02:10:02.173
4650248090236748534|4688810162046108108|11925848.9|2021-02-25 15:27:39.45
69242844270821492|90353467524120648|455604.18|2021-02-27 17:12:54.065
4700350636091245930|4675299363163997016|10394080.77|2021-03-05 02:50:44.447
4712454060089803328|4723994534134940037|529.61|2021-03-18 10:47:01.624
4709920785299408307|4653344314980565892|1247595.05|2021-03-18 18:02:02.138
92886742314516825|106960491150049485|6645995.15|2021-03-21 15:25:04.761
109775240917156585|91479367430963656|8209.67|2021-03-30 23:37:19.454
69242844270821492|90353467524120648|2457414.74|2021-04-04 03:19:09.026
4730749933575996446|4735253533203366537|139375.6|2021-04-04 09:43:12.037
4645744490609378224|4733846158319813199|21416801.83|2021-04-11 21:41:55.996
106960491150049500|114841790497947769|4022049.24|2021-04-14 08:50:46.807
4712454060089803328|4723994534134940037|973485.2|2021-04-22 16:16:44.564
106960491150049500|80220368362537080|10181438.32|2021-04-27 16:29:00.449
4712172585113092179|4688528687069397066|39170240.14|2021-05-08 04:25:19.58
4674173463257153549|4753267931712847888|4752590.65|2021-05-21 13:40:46.665
4747638432178634930|4645181540655956113|1835786.27|2021-06-04 21:21:02.395
4752704981759427556|4656159064747672175|36438.88|2021-06-06 01:43:01.423
4747638432178634930|4645181540655956113|5229242.45|2021-06-10 19:54:39.036
4755801206503244895|4751016131899163317|6170046.34|2021-06-16 10:37:48.038
63894819713319279|83598068083065056|7012346.31|2021-06-16 20:03:22.73
4747638432178634930|4645181540655956113|11721963.87|2021-06-17 01:51:54.195
106960491150049500|80220368362537080|9452129.76|2021-06-17 13:03:00.434
4740038607807447578|4754112356642980207|624891.63|2021-06-18 00:45:50.322
92886742314516825|106960491150049485|1905204.47|2021-06-21 12:30:50
59672695062659546|129197014310191405|1857798.88|2021-06-22 11:05:43.854
