investorId|companyId|ratio|createTime
1099511627905|237|0.32606821811373277|2020-04-26 11:25:20.256
1099511627889|2199023255687|0.006782378983392666|2020-08-18 17:46:34.19
1099511628098|2199023255710|0.3454821870191944|2020-09-01 11:24:41.852
2199023255835|2199023255780|0.1830357219217773|2020-09-13 07:26:20.722
1099511627905|29|0.226221436270415|2020-10-15 04:49:51.541
4398046511456|2199023255777|0.022264639238092503|2020-11-14 22:49:31.206
4398046511208|354|0.044892679945160545|2020-11-20 12:11:57.473
1099511627969|365|0.12775967325416984|2020-12-07 03:20:25.086
2199023255948|4398046511219|0.13886496420136024|2020-12-15 10:08:50.672
3298534883698|3298534883698|0.33466835291317704|2020-12-15 18:02:42.733
3298534883436|2199023255737|0.15840199165132005|2020-12-17 08:59:42.588
2199023255701|178|0.2436602162692406|2020-12-25 08:12:51.47
4398046511480|1099511627870|0.1533977740555547|2020-12-27 19:00:36.097
2199023255862|1099511627834|0.0893796795075231|2020-12-28 19:41:11.682
2199023255630|2199023255702|0.15063064206034082|2021-01-06 04:22:01.611
4398046511137|2199023255862|0.1599531580831098|2021-01-22 12:43:38.58
4398046511137|314|0.024424398601380237|2021-01-23 01:19:52.529
2199023255630|2199023255835|0.10103227092963407|2021-01-25 17:10:33.892
3298534883597|2199023255588|0.32611699963812135|2021-02-03 23:04:58.82
4398046511210|5497558139205|0.12921261076495144|2021-02-12 23:55:41.315
1099511627995|353|0.0005625182246153103|2021-02-18 20:01:16.474
2199023255578|336|0.33327293012817993|2021-02-20 17:20:29.05
3298534883673|5497558138886|0.045965680895989666|2021-02-21 08:20:20.719
3298534883628|2199023255777|0.16849643287252627|2021-02-25 02:31:17.808
4398046511192|5497558139205|0.09092129572462|2021-02-27 02:49:50.619
2199023255950|93|0.22258117681780795|2021-02-28 20:59:17.399
4398046511219|3298534883436|0.08961015623866404|2021-03-05 15:25:33.63
1099511628134|4398046511451|0.15918740693322372|2021-03-07 03:03:22.387
3298534883722|2199023255941|0.15943973968257616|2021-03-10 04:36:04.089
2199023255711|4398046511480|0.15590639982771282|2021-03-21 03:48:14.621
1099511627918|4398046511210|0.13533668599589063|2021-03-22 03:16:31.413
64|4398046511125|0.32039233826082586|2021-03-27 12:53:55.742
5497558138926|3298534883429|0.16890729065072285|2021-03-30 19:28:36.103
4398046511194|4398046511194|0.05290037863717384|2021-04-03 18:29:03.241
5497558139243|5497558138885|0.078380951258718|2021-04-04 18:43:40.136
342|2199023255811|0.1933726937687609|2021-04-11 09:26:22.567
3298534883458|5497558139109|0.07424938033444119|2021-04-11 10:32:05.272
5497558138890|1099511627835|0.08526676580058914|2021-04-20 03:05:36.853
4398046511111|3298534883436|0.1170610272536212|2021-04-24 11:23:22.614
5497558139243|2199023255630|0.2689944005523588|2021-04-29 01:42:11.959
2199023255833|344|0.16277500104988868|2021-04-29 12:18:40.234
2199023255836|2199023255780|0.22756895630961427|2021-05-04 02:56:12.289
1099511627996|3298534883678|0.0534782381606686|2021-05-10 10:11:29.398
5497558139205|4398046511122|0.000626461726914885|2021-05-16 14:41:03.717
5497558139133|5497558139179|0.0755626034312292|2021-05-21 12:37:17.978
1099511627995|180|0.38158719125932283|2021-05-22 06:29:39.645
5497558139096|6597069766871|0.04875318291278052|2021-05-23 20:00:22.991
353|1099511627889|0.08404397678439642|2021-05-24 10:45:08.788
5497558139002|344|0.11461175258454429|2021-05-24 14:04:35.27
351|344|0.15341632602370525|2021-05-26 18:47:13.068
2199023255777|4398046511122|0.3198725432858877|2021-05-31 18:04:04.083
6597069766929|6597069766809|0.188097026966271|2021-06-05 21:42:58.559
1099511628148|6597069766906|0.24108531121387633|2021-06-10 23:02:36.968
5497558139067|5497558139096|0.034718017110770126|2021-06-11 16:52:53.893
6597069766983|257|0.10842262675476899|2021-06-13 11:38:34.2
257|29|0.10237455706747547|2021-06-14 07:38:39.351
