fromId|toId|amount|createTime
4647433340469642673|4666573638885966169|6172213.11|2020-07-19 19:44:20.915
4625196817309500703|4644055640749114719|1606995.92|2020-08-17 19:41:11.357
4625196817309500703|4657003489677805220|2719967.8|2020-08-25 04:17:54.874
4673891988280443381|47287796087390269|7075995.07|2020-09-25 08:33:41.369
63894819713319622|4666573638885966169|6306198.23|2020-10-24 06:02:39.843
52072870691472021|4687121312185844640|4365774.76|2020-11-29 06:32:16.386
4678114112931103330|92886742314516825|8991933.01|2020-12-01 09:27:56.655
4706261610602169223|4657003489677805220|1878848.84|2020-12-07 11:16:06.874
4685432462325580433|16607023625929101|8251035.12|2020-12-15 12:01:55.993
4678114112931103330|4666573638885966169|9023985.38|2020-12-18 18:26:34.673
4690217536929662533|4709357835345985933|1257421.07|2020-12-25 06:26:11.872
4647433340469642673|4712454060089803388|9632464.26|2020-12-28 21:47:08.231
4647433340469642673|75716768735167298|5064526.09|2020-12-31 17:06:20.743
4690217536929662533|4709357835345985933|8228393.77|2021-01-11 18:15:23.459
4698098836277561035|40532396646334920|2453724.78|2021-01-24 06:26:29.88
63894819713319279|4687121312185844640|2810999.73|2021-01-24 16:17:51.901
4614219293217785425|77968568548851741|3588637.38|2021-02-26 17:13:34.812
4688528687069398403|4730749933575996446|1632047.91|2021-02-27 20:05:15.994
4664040364095570531|77968568548851741|8298157.22|2021-03-02 07:01:43.752
4664040364095570531|4687121312185844640|7071440.64|2021-03-14 07:13:27.079
4709920785299408307|4712454060089803388|2208090.51|2021-03-17 05:18:53.118
4614219293217785425|4721742734321254459|8917834.19|2021-03-22 20:07:10.809
4625196817309500703|4717239134693885342|4165288.97|2021-03-23 15:30:21.891
4673047563350312168|4709357835345985933|3557533.92|2021-03-24 02:34:44.521
4703165385858352412|4689373111999530488|429944.0|2021-03-24 23:12:15.749
4738068282970473711|4687121312185844640|7192898.01|2021-03-30 12:37:09.816
52072870691472021|16607023625929101|3750492.82|2021-04-06 02:21:26.975
4673891988280443381|4709357835345985933|6711843.36|2021-04-08 20:57:56.424
121597189939004153|4689373111999530488|8995550.04|2021-04-09 06:43:42.143
4713579959996645756|40532396646334920|5073106.73|2021-04-11 04:31:24.149
4640677941028586840|4717239134693885342|7658248.58|2021-04-11 15:52:46.196
4705698660648748763|4709357835345985933|6990871.08|2021-04-13 01:23:11.121
4703165385858352412|16607023625929101|3884047.98|2021-04-17 22:59:18.398
4738068282970473711|4730749933575996446|2987788.06|2021-04-23 18:09:34.613
